,Unnamed: 0,htf,rival_name,hta,team_score,rival_score,team_id,result,match_diff,team_name,rival_id,date,ground,team_last10_avg_diff,rival_last10_avg_diff,ground_country,home_match
0,2,-,Ukraine,-,20,17,7,won,3,Germany,84,2000-04-02,Odessa,,,Ukraine,False
1,3,-,Germany,-,17,20,84,lost,-3,Ukraine,7,2000-04-02,Odessa,,,Ukraine,True
2,6,-,Russia,-,6,89,7,lost,-83,Germany,57,2000-04-16,Krasnodar,3.0,,Russia,False
3,7,-,Germany,-,89,6,57,won,83,Russia,7,2000-04-16,Krasnodar,,3.0,Russia,True
4,10,-,Croatia,-,11,38,7,lost,-27,Germany,83,2000-04-30,Hamburg,-40.0,,Germany,True
5,11,-,Germany,-,38,11,83,won,27,Croatia,7,2000-04-30,Hamburg,,-40.0,Germany,False
6,14,-,Denmark,-,19,39,7,lost,-20,Germany,30,2000-05-07,Varel,-35.6666666667,,Germany,True
7,15,-,Germany,-,39,19,30,won,20,Denmark,7,2000-05-07,Varel,,-35.6666666667,Germany,False
8,18,-,Poland,-,13,26,7,lost,-13,Germany,13,2000-10-22,Berlin,-31.75,-20.3333333333,unknown,False
9,19,-,Germany,-,26,13,13,won,13,Poland,7,2000-10-22,Berlin,-20.3333333333,-31.75,unknown,False
10,22,6,Ukraine,3,12,19,7,lost,-7,Germany,84,2000-11-12,Heusenstamm,-28.0,-10.25,Germany,True
11,23,3,Germany,6,19,12,84,won,7,Ukraine,7,2000-11-12,Heusenstamm,-10.25,-28.0,Germany,False
12,26,20,Czech Rep,6,30,17,7,won,13,Germany,91,2001-04-08,Constance,-24.5,4.33333333333,Germany,True
13,27,6,Germany,20,17,30,91,lost,-13,Czech Rep,7,2001-04-08,Constance,4.33333333333,-24.5,Germany,False
14,30,3,England,25,18,50,3,lost,-32,Ireland,1,2000-02-05,Twickenham,,,unknown,False
15,31,25,Ireland,3,50,18,1,won,32,England,3,2000-02-05,Twickenham,,,unknown,False
16,34,-,Denmark,-,21,10,7,won,11,Germany,30,2001-04-28,Copenhagen,-19.1428571429,-22.0,Denmark,False
17,35,-,Germany,-,10,21,30,lost,-11,Denmark,7,2001-04-28,Copenhagen,-22.0,-19.1428571429,Denmark,True
18,38,-,Croatia,-,14,14,7,draw,0,Germany,83,2001-05-20,Split,-15.375,9.8,Croatia,False
19,39,-,Germany,-,14,14,83,draw,0,Croatia,7,2001-05-20,Split,9.8,-15.375,Croatia,True
20,42,10,Sweden,3,10,32,7,lost,-22,Germany,31,2001-10-21,Malmo,-13.6666666667,39.0,Sweden,False
21,43,3,Germany,10,32,10,31,won,22,Sweden,7,2001-10-21,Malmo,39.0,-13.6666666667,Sweden,True
22,46,21,Denmark,14,34,24,7,won,10,Germany,30,2001-11-10,Heidelburg,-14.5,-16.4444444444,Germany,True
23,47,14,Germany,21,24,34,30,lost,-10,Denmark,7,2001-11-10,Heidelburg,-16.4444444444,-14.5,Germany,False
24,50,13,Scotland,10,44,22,3,won,22,Ireland,2,2000-02-19,Lansdowne Road,-32.0,-14.0,Ireland,True
25,51,10,Ireland,13,22,44,2,lost,-22,Scotland,3,2000-02-19,Lansdowne Road,-14.0,-32.0,Ireland,False
26,54,33,Italy,0,60,13,3,won,47,Ireland,20,2000-03-04,Lansdowne Road,-5.0,-8.5,Ireland,True
27,55,0,Ireland,33,13,60,20,lost,-47,Italy,3,2000-03-04,Lansdowne Road,-8.5,-5.0,Ireland,False
28,58,7,France,13,27,25,3,won,2,Ireland,9,2000-03-19,Stade de France,12.3333333333,13.0,unknown,False
29,59,13,Ireland,7,25,27,9,lost,-2,France,3,2000-03-19,Stade de France,13.0,12.3333333333,unknown,False
30,62,6,Wales,10,19,23,3,lost,-4,Ireland,4,2000-04-01,Lansdowne Road,9.75,-7.0,Ireland,True
31,63,10,Ireland,6,23,19,4,won,4,Wales,3,2000-04-01,Lansdowne Road,-7.0,9.75,Ireland,False
32,66,25,Latvia,0,44,0,7,won,44,Germany,87,2001-11-24,Hanover,-13.8,2.0,Germany,True
33,67,0,Germany,25,0,44,87,lost,-44,Latvia,7,2001-11-24,Hanover,2.0,-13.8,Germany,False
34,70,0,Poland,3,12,20,7,lost,-8,Germany,13,2002-04-06,Gdynia,-1.1,4.5,Poland,False
35,71,3,Germany,0,20,12,13,won,8,Poland,7,2002-04-06,Gdynia,4.5,-1.1,Poland,True
36,74,-,Ukraine,-,26,26,7,draw,0,Germany,84,2002-11-24,Heidelburg,0.8,5.9,Germany,True
37,75,-,Germany,-,26,26,84,draw,0,Ukraine,7,2002-11-24,Heidelburg,5.9,0.8,Germany,False
38,78,12,Netherlands,3,15,3,7,won,12,Germany,22,2003-03-09,Hanover,2.8,-42.4,Germany,True
39,79,3,Germany,12,3,15,22,lost,-12,Netherlands,7,2003-03-09,Hanover,-42.4,2.8,Germany,False
40,82,-,Poland,-,37,15,7,won,22,Germany,13,2003-03-29,Gdynia,5.3,8.2,Poland,False
41,83,-,Germany,-,15,37,13,lost,-22,Poland,7,2003-03-29,Gdynia,8.2,5.3,Poland,True
42,86,-,Sweden,-,24,16,7,won,8,Germany,31,2003-04-27,Trelleborg,8.2,22.4,unknown,False
43,87,-,Germany,-,16,24,31,lost,-8,Sweden,7,2003-04-27,Trelleborg,22.4,8.2,unknown,False
44,90,5,Argentina,8,23,34,3,lost,-11,Ireland,10,2000-06-03,Buenos Aires,7.0,,Argentina,False
45,91,8,Ireland,5,34,23,10,won,11,Argentina,3,2000-06-03,Buenos Aires,,7.0,Argentina,True
46,94,31,USA,3,83,3,3,won,80,Ireland,11,2000-06-10,Manchester,4.0,12.0,USA,False
47,95,3,Ireland,31,3,83,11,lost,-80,USA,3,2000-06-10,Manchester,12.0,4.0,USA,True
48,98,8,Canada,21,27,27,3,draw,0,Ireland,25,2000-06-17,Markham,14.8571428571,-8.0,Canada,False
49,99,21,Ireland,8,27,27,25,draw,0,Canada,3,2000-06-17,Markham,-8.0,14.8571428571,Canada,True
50,102,-,Ukraine,-,3,6,7,lost,-3,Germany,84,2003-10-12,Kiev,7.7,11.7,Ukraine,False
51,103,-,Germany,-,6,3,84,won,3,Ukraine,7,2003-10-12,Kiev,11.7,7.7,Ukraine,True
52,106,10,Netherlands,6,13,14,7,lost,-1,Germany,22,2004-04-10,Amsterdam,6.3,-18.4,Netherlands,False
53,107,6,Germany,10,14,13,22,won,1,Netherlands,7,2004-04-10,Amsterdam,-18.4,6.3,Netherlands,True
54,110,-,Sweden,-,40,0,7,won,40,Germany,31,2004-04-25,Hanover,6.2,-7.1,Germany,True
55,111,-,Germany,-,0,40,31,lost,-40,Sweden,7,2004-04-25,Hanover,-7.1,6.2,Germany,False
56,114,5,Poland,10,34,10,7,won,24,Germany,13,2004-05-16,Heidelburg,12.4,-0.3,unknown,False
57,115,10,Germany,5,10,34,13,lost,-24,Poland,7,2004-05-16,Heidelburg,-0.3,12.4,unknown,False
58,118,29,Japan,9,78,9,3,won,69,Ireland,23,2000-11-11,Lansdowne Road,13.0,-11.9,Ireland,True
59,119,9,Ireland,29,9,78,23,lost,-69,Japan,3,2000-11-11,Lansdowne Road,-11.9,13.0,Ireland,False
60,122,10,South Africa,13,18,28,3,lost,-10,Ireland,5,2000-11-19,Lansdowne Road,19.2222222222,-0.7,unknown,False
61,123,13,Ireland,10,28,18,5,won,10,South Africa,3,2000-11-19,Lansdowne Road,-0.7,19.2222222222,unknown,False
62,126,16,Italy,8,41,22,3,won,19,Ireland,20,2001-02-03,Rome,16.3,-19.7,Italy,False
63,127,8,Ireland,16,22,41,20,lost,-19,Italy,3,2001-02-03,Rome,-19.7,16.3,Italy,True
64,130,9,France,3,22,15,3,won,7,Ireland,9,2001-02-17,Lansdowne Road,21.4,9.6,Ireland,True
65,131,3,Ireland,9,15,22,9,lost,-7,France,3,2001-02-17,Lansdowne Road,9.6,21.4,Ireland,False
66,134,9,Romania,3,37,3,3,won,34,Ireland,12,2001-06-02,Bucharest,19.9,10.2,Romania,False
67,135,3,Ireland,9,3,37,12,lost,-34,Romania,3,2001-06-02,Bucharest,10.2,19.9,Romania,True
68,138,13,Moldova,6,27,18,7,won,9,Germany,94,2004-11-13,Chisinau,13.8,4.2,Moldova,False
69,139,6,Germany,13,18,27,94,lost,-9,Moldova,7,2004-11-13,Chisinau,4.2,13.8,Moldova,True
70,142,53,Luxembourg,0,96,0,7,won,96,Germany,61,2004-11-27,Heidelburg,10.3,1.5,Germany,True
71,143,0,Germany,53,0,96,61,lost,-96,Luxembourg,7,2004-11-27,Heidelburg,1.5,10.3,Germany,False
72,146,-,Denmark,-,56,0,7,won,56,Germany,30,2005-04-02,Heidelburg,20.7,0.8,Germany,True
73,147,-,Germany,-,0,56,30,lost,-56,Denmark,7,2005-04-02,Heidelburg,0.8,20.7,Germany,False
74,150,28,Austria,6,69,9,7,won,60,Germany,85,2005-04-23,Vienna,26.3,4.1,Austria,False
75,151,6,Germany,28,9,69,85,lost,-60,Austria,7,2005-04-23,Vienna,4.1,26.3,Austria,True
76,154,3,Malta,0,43,0,7,won,43,Germany,108,2005-10-29,Paola,31.1,-1.6,Malta,False
77,155,0,Germany,3,0,43,108,lost,-43,Malta,7,2005-10-29,Paola,-1.6,31.1,Malta,True
78,158,0,Scotland,17,10,32,3,lost,-22,Ireland,2,2001-09-22,Murrayfield,18.6,-7.4,unknown,False
79,159,17,Ireland,0,32,10,2,won,22,Scotland,3,2001-09-22,Murrayfield,-7.4,18.6,unknown,False
80,162,15,Wales,3,36,6,3,won,30,Ireland,4,2001-10-13,Millennium Stadium,16.2,20.3,unknown,False
81,163,3,Ireland,15,6,36,4,lost,-30,Wales,3,2001-10-13,Millennium Stadium,20.3,16.2,unknown,False
82,166,11,England,6,20,14,3,won,6,Ireland,1,2001-10-20,Lansdowne Road,19.6,26.5,Ireland,True
83,167,6,Ireland,11,14,20,1,lost,-6,England,3,2001-10-20,Lansdowne Road,26.5,19.6,Ireland,False
84,170,16,Samoa,3,35,8,3,won,27,Ireland,15,2001-11-11,Lansdowne Road,21.3,-4.4,Ireland,True
85,171,3,Ireland,16,8,35,15,lost,-27,Samoa,3,2001-11-11,Lansdowne Road,-4.4,21.3,Ireland,False
86,174,16,New Zealand,7,29,40,3,lost,-11,Ireland,8,2001-11-17,Lansdowne Road,16.0,16.7,unknown,False
87,175,7,Ireland,16,40,29,8,won,11,New Zealand,3,2001-11-17,Lansdowne Road,16.7,16.0,unknown,False
88,178,24,Wales,3,54,10,3,won,44,Ireland,4,2002-02-03,Lansdowne Road,14.9,15.9,Ireland,True
89,179,3,Ireland,24,10,54,4,lost,-44,Wales,3,2002-02-03,Lansdowne Road,15.9,14.9,Ireland,False
90,182,60,Serbia & Mon,0,108,0,7,won,108,Germany,47,2005-11-12,Heidelburg,33.2,-1.6,Germany,True
91,183,0,Germany,60,0,108,47,lost,-108,Serbia & Mon,7,2005-11-12,Heidelburg,-1.6,33.2,Germany,False
92,186,10,Croatia,9,25,15,7,won,10,Germany,83,2006-04-22,Zagreb,43.2,5.5,Croatia,False
93,187,9,Germany,10,15,25,83,lost,-10,Croatia,7,2006-04-22,Zagreb,5.5,43.2,Croatia,True
94,190,21,Belgium,10,33,15,7,won,18,Germany,21,2006-04-29,Hanover,44.5,8.6,Germany,True
95,191,10,Germany,21,15,33,21,lost,-18,Belgium,7,2006-04-29,Hanover,8.6,44.5,Germany,False
96,194,6,England,31,11,45,3,lost,-34,Ireland,1,2002-02-16,Twickenham,12.4,32.9,unknown,False
97,195,31,Ireland,6,45,11,1,won,34,England,3,2002-02-16,Twickenham,32.9,12.4,unknown,False
98,198,22,Scotland,12,43,22,3,won,21,Ireland,2,2002-03-02,Lansdowne Road,10.0,-5.0,Ireland,True
99,199,12,Ireland,22,22,43,2,lost,-21,Scotland,3,2002-03-02,Lansdowne Road,-5.0,10.0,Ireland,False
